KEGG	Name	Equation	MetaNetX	Rhea	ModelSEED	BiGG	MetaCyc	SABIO-RK
R04187	L-Alanine:3-oxopropanoate aminotransferase	L-Alanine + (S)-Methylmalonate semialdehyde <=> Pyruvate + L-3-Aminoisobutanoate	MNXR191256	31071;31072;31073;31074	rxn39449	3AIBT2	RXN-14265	
R04188	L-3-amino-isobutanoate:2-oxoglutarate aminotransferase	L-3-Aminoisobutanoate + 2-Oxoglutarate <=> (S)-Methylmalonate semialdehyde + L-Glutamate	MNXR108721		rxn39450		2.6.1.22-RXN	3906
R04189	N2-succinyl-L-arginine iminohydrolase (decarboxylating)	N2-Succinyl-L-arginine + 2 H2O <=> N2-Succinyl-L-ornithine + CO2 + 2 Ammonia	MNXR104239	19533;19534;19535;19536	rxn02927;rxn30059;rxn33723;rxn33730	SADH	SUCCARGDIHYDRO-RXN	
R04190	S-Adenosyl-L-methionine:protein-L-isoaspartate O-methyltransferase	S-Adenosyl-L-methionine + Protein L-isoaspartate <=> S-Adenosyl-L-homocysteine + Protein L-isoaspartate methyl ester	MNXR108722		rxn06614			
R04191	alpha-Amino-acid-ester aminoacylhydrolase	alpha-Amino acid ester + H2O <=> alpha-Amino acid + Alcohol	MNXR148594					
R04192	Acetyl-CoA:alpha-tubulin-L-lysine N(epsilon)-acetyltransferase	Acetyl-CoA + [alpha-Tubulin]-L-lysine <=> CoA + [alpha-Tubulin]-N6-acetyl-L-lysine	MNXR108724					
R04193	1,2-beta-D-Fructan:1,2-beta-D-fructan 1F-beta-D-fructosyltransferase	(2,1-beta-D-Fructosyl)n(m) + (2,1-beta-D-Fructosyl)n(n) <=> (2,1-beta-D-Fructosyl)n(m-1) + (2,1-beta-D-Fructosyl)n(n+1)						
R04194	Sucrose:2,1-beta-D-fructan 1-beta-D-fructosyltransferase	Sucrose + (2,1-beta-D-Fructosyl)n <=> D-Glucose + (2,1-beta-D-Fructosyl)n						
R04198	2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase	2,3,4,5-Tetrahydrodipicolinate + NAD+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADH + H+	MNXR108727	35323;35324;35325;35326	rxn39451			
R04199	2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase	2,3,4,5-Tetrahydrodipicolinate + NADP+ + H2O <=> (2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate + NADPH + H+	MNXR148597	35331;35332;35333;35334	rxn39452	H4THDPR		
R04200	D-threo-2,4-diaminopentanoate:NAD+ oxidoreductase (deaminating)	(2R,4S)-2,4-Diaminopentanoate + H2O + NAD+ <=> 2-Amino-4-oxopentanoic acid + Ammonia + NADH + H+	MNXR148599	24196;24197;24198;24199				
R04201	D-threo-2,4-diaminopentanoate:NADP+ oxidoreductase(deaminating)	(2R,4S)-2,4-Diaminopentanoate + NADP+ + H2O <=> 2-Amino-4-oxopentanoic acid + NADPH + Ammonia + H+	MNXR148601	24192;24193;24194;24195				
R04202	Bis(2-ethylhexyl)phthalate acylhydrolase	Bis(2-ethylhexyl)phthalate + H2O <=> 2-Ethylhexyl phthalate + 2-Ethylhexan-1-ol	MNXR108731	15529;15530;15531;15532	rxn02932		BIS2-ETHYLHEXYLPHTHALATE-ESTERASE-RXN	
R04203	(2S,3S)-3-hydroxy-2-methylbutanoyl-CoA:NAD+ oxidoreductase	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA + NAD+ <=> 2-Methylacetoacetyl-CoA + NADH + H+	MNXR188214	13281;13282;13283;13284	rxn02933;rxn31839;rxn35545	HACD9;HACD9m	1.1.1.178-RXN	3919
R04204	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA hydro-liase	(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA <=> 2-Methylbut-2-enoyl-CoA + H2O	MNXR190958	31119;31120;31121;31122	rxn02934;rxn27332;rxn31091;rxn31755;rxn37861	ECOAH9ir;ECOAH9m	TIGLYLCOA-HYDROXY-RXN	3920
R04205	(E)-2-Methylcrotonoyl-CoA :13-hydroxylupinine O-2-methylcrotonoyltransferase	2-Methylbut-2-enoyl-CoA + 13-Hydroxylupanine <=> CoA + 13-(2-Methylcrotonoyl)oxylupanine	MNXR108732		rxn02935			
R04206	3-Phospho-D-erythronate hydro-lyase	3-Phospho-D-erythronate <=> Phosphoenol-4-deoxy-3-tetrulosonate + H2O	MNXR108733		rxn02936			
R04208	2-(Formamido)-N1-(5-phosphoribosyl)acetamidine cyclo-ligase (ADP-forming)	ATP + 2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine <=> ADP + Orthophosphate + Aminoimidazole ribotide	MNXR108734	23032;23033;23034;23035	rxn02937;rxn27693;rxn32851	PRAIS;PRAIS_1;PRFGCL;PRFGCLh	AIRS-RXN	
R04209	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate <=> Aminoimidazole ribotide + CO2	MNXR108735	10792;10793;10794;10795	rxn02938;rxn33097;rxn38026	AIRCr;PRAIC;PRAICh	AIRCARBOXY-RXN	119
R04210	4-phospho-D-erythronate:NAD+ 2-oxidoreductase	4-Phospho-D-erythronate + NAD+ <=> 2-Oxo-3-hydroxy-4-phosphobutanoate + NADH + H+	MNXR102495	18829;18830;18831;18832	rxn02939	PERD	ERYTHRON4PDEHYDROG-RXN	
R04211	Oxalyl-CoA:L-2,3-diaminopropanoate N3-oxalyltransferase	Oxalyl-CoA + L-2,3-Diaminopropanoate <=> CoA + 3-(Carboxycarbonylamino)-L-alanine	MNXR108736	13465;13466;13467;13468	rxn02940		2.3.1.58-RXN	
R04212	Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	L-Asparaginyl-tRNA(Asn) + L-Glutamate + Orthophosphate + ADP <=> L-Aspartyl-tRNA(Asn) + L-Glutamine + ATP + H2O	MNXR153024					
R04213	3'-Phosphoadenylylsulfate:L-tyrosine-methyl-ester sulfotransferase	3'-Phosphoadenylyl sulfate + L-Tyrosine methyl ester <=> Adenosine 3',5'-bisphosphate + L-Tyrosine methyl ester 4-sulfate	MNXR108737	19977;19978;19979;19980	rxn02941		TYROSINE-ESTER-SULFOTRANSFERASE-RXN	
R04214		N-Formimino-L-aspartate <=> 4-Imidazolone-5-acetate + H2O	MNXR139262		rxn02942;rxn32258;rxn32262;rxn32291			
R04215	CTP:N-glycoloylneuraminate cytidylyltransferase	CTP + N-Glycoloyl-neuraminate <=> Diphosphate + CMP-N-glycoloylneuraminate	MNXR146795		rxn02943	r0668		3928
R04216	dolichyl-diphosphooligosaccharide:protein-L-asparagine oligopolysaccharidotransferase	Dolichyl diphosphooligosaccharide + Protein asparagine <=> Dolichyl diphosphate + Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine	MNXR148603					
R04217	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase	N2-Succinyl-L-ornithine + 2-Oxoglutarate <=> N-Succinyl-L-glutamate 5-semialdehyde + L-Glutamate	MNXR104477	16953;16954;16955;16956	rxn02944;rxn29001;rxn32497;rxn33174	SOTA	SUCCORNTRANSAM-RXN	
R04218	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase	Prephytoene diphosphate <=> Diphosphate + 15-cis-Phytoene	MNXR148605	34479;34480;34481;34482				
R04221	cis-4-Hydroxy-D-proline:oxygen oxidoreductase (deaminating)	cis-4-Hydroxy-D-proline + Oxygen <=> 1-Pyrroline-4-hydroxy-2-carboxylate + Hydrogen peroxide	MNXR108742		rxn02946			
R04222	dTDP-L-dihydrostreptose:streptidine-6-phosphate dihydrostreptosyltransferase	dTDP-L-dihydrostreptose + Streptidine 6-phosphate <=> dTDP + O-(1->4)-alpha-L-Dihydrostreptosyl-streptidine 6-phosphate	MNXR148607	24392;24393;24394;24395	rxn02947		2.4.2.27-RXN	
R04223		gamma-Oxalocrotonate + H2O <=> 4-Hydroxy-2-oxopentanoate + CO2	MNXR148609					
R04224	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase	2-Methylprop-2-enoyl-CoA + H2O <=> (S)-3-Hydroxyisobutyryl-CoA	MNXR189351	31175;31176;31177;31178	rxn20198;rxn20199;rxn37687	ECOAH12;ECOAH12m;r0669	METHYLACYLYLCOA-HYDROXY-RXN	3935
R04225	(S)-3-Methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating)	(S)-3-Methyl-2-oxopentanoic acid + Enzyme N6-(lipoyl)lysine <=> [Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine + CO2	MNXR108745					
R04227	3-sn-Phosphatidylcholine:dolichol O-acyltransferase	Phosphatidylcholine + Dolichol <=> Acyldolichol + 1-Acyl-sn-glycero-3-phosphocholine	MNXR148611					
R04228	NADH:4-nitroquinoline-N-oxide oxidoreductase	4-Nitroquinoline N-oxide + 2 NADH + 2 H+ <=> 4-Hydroxyaminoquinoline N-oxide + 2 NAD+ + H2O	MNXR108747	22480;22481;22482;22483	rxn02951			
R04229	NADPH:4-nitroquinoline-N-oxide oxidoreductase	4-Nitroquinoline N-oxide + 2 NADPH + 2 H+ <=> 4-Hydroxyaminoquinoline N-oxide + 2 NADP+ + H2O	MNXR108748	22476;22477;22478;22479	rxn02952			
R04230	(R)-4'-phosphopantothenate:L-cysteine ligase (ATP-utilizing)	ATP + D-4'-Phosphopantothenate + L-Cysteine <=> AMP + Diphosphate + (R)-4'-Phosphopantothenoyl-L-cysteine	MNXR103120	25156;25157;25158;25159	rxn12512	PPNCL3	RXN66-555	
R04231	(R)-4'-phosphopantothenate:L-cysteine ligase	CTP + D-4'-Phosphopantothenate + L-Cysteine <=> CMP + Diphosphate + (R)-4'-Phosphopantothenoyl-L-cysteine	MNXR188696	19397;19398;19399;19400	rxn09177	PPNCL2;PPNCL2_1;PPNCL_m	P-PANTOCYSLIG-RXN	3942
R04234	D-4-Hydroxyphenylglycine:2-oxoglutarate aminotransferase	D-4-Hydroxyphenylglycine + 2-Oxoglutarate <=> 4-Hydroxyphenylglyoxylate + L-Glutamate	MNXR108749	15589;15590;15591;15592	rxn02956;rxn17659		2.6.1.72-RXN	
R04235	ATP:5-methyldeoxycytidine-5'-phosphate phosphotransferase	ATP + Deoxy-5-methylcytidylate <=> ADP + 5-Methyldeoxycytidine diphosphate	MNXR108750	11396;11397;11398;11399	rxn02957		2.7.4.19-RXN	
R04236	Propane-1,2-diol-1-phosphate:NAD+ oxidoreductase	Propane-1,2-diol 1-phosphate + NAD+ <=> Hydroxyacetone phosphate + NADH + H+	MNXR108751	21584;21585;21586;21587	rxn02958		PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN	
R04237	S-adenosyl-L-methionine:magnesium-protoporphyrin-IX O-methyltransferase	S-Adenosyl-L-methionine + Magnesium protoporphyrin <=> S-Adenosyl-L-homocysteine + Magnesium protoporphyrin monomethyl ester	MNXR145699					
R04238	Aminoacyl-tRNA aminoacylhydrolase	N-Substituted aminoacyl-tRNA + H2O <=> N-Substituted amino acid + tRNA	MNXR148614					
R04239	protein-L-lysine:oxygen 6-oxidoreductase (deaminating)	Protein lysine + H2O + Oxygen <=> [Protein]-(S)-2-amino-6-oxohexanoate + Ammonia + Hydrogen peroxide	MNXR148617					
R04241	tetrahydropteroyl-gamma-polyglutamate:L-glutamate gamma-ligase (ADP-forming)	ATP + THF-polyglutamate(n) + L-Glutamate <=> ADP + Orthophosphate + THF-polyglutamate(n+1)						
R04242	tetrahydropteroyl-poly-gamma-glutamate gamma-glutamylhydrolase	THF-polyglutamate + (n-1) H2O <=> Tetrahydrofolate + (n-1) L-Glutamate						
R04247	CTP:ethanolamine-phosphate cytidylyltransferase	CTP + 2-Aminoethylphosphonate <=> Diphosphate + CMP-2-aminoethylphosphonate	MNXR190964		rxn02961	EPCTX	RXN-21313	
R04248		2-Aminoethylphosphonate + Hydrogen peroxide <=> Ethanolamine + Orthophosphate	MNXR108757		rxn02962			
R04249		2-Aminoethylphosphonate <=> (2-Amino-1-hydroxyethyl)phosphonate	MNXR108758		rxn02963			
R04250		2-Aminoethylphosphonate <=> N-Monomethyl-2-aminoethylphosphonate	MNXR108759		rxn02964			
R04251		Phosphonoacetaldehyde <=> Phosphonoacetate	MNXR148619	58152;58153;58154;58155	rxn22959		RXN-12513	
R04252		2-Aminoethylphosphonate <=> Ciliatocholate	MNXR108761					
R04254		n (R)-3-Hydroxybutanoyl-CoA <=> Poly-beta-hydroxybutyrate + n CoA						
R04256	(7E,9E,11Z,14Z)-(5S,6R)-6-(cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate,NADPH:oxygen oxidoreductase (20-hydroxylating)	Leukotriene E4 + Oxygen + NADPH + H+ <=> 20-Hydroxyleukotriene E4 + NADP+ + H2O	MNXR103956	24120;24121;24122;24123	rxn02967	RE3550X	LEUKOTRIENE-E4-20-MONOOXYGENASE-RXN	
R04257		Resveratrol <=> Piceatannol	MNXR108764		rxn02968			
R04258		4-Chlorocatechol + Oxygen <=> 3-Chloro-cis,cis-muconate	MNXR108765	48576;48577;48578;48579	rxn02969		RXN-9870	
R04259	(2R)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate lyase (ring-opening)	2-Chloro-2,5-dihydro-5-oxofuran-2-acetate <=> 3-Chloro-cis,cis-muconate	MNXR108766	11032;11033;11034;11035	rxn02970		RXN-9892	
R04260	5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase	2,5-Dihydro-5-oxofuran-2-acetate <=> 2-Oxo-2,3-dihydrofuran-5-acetate	MNXR145739	12348;12349;12350;12351;31123;31124;31125;31126	rxn02971;rxn15642		MUCONOLACTONE-DELTA-ISOMERASE-RXN	
R04263	7alpha-Hydroxycholesterol:NAD+ 3-oxidoreductase	7alpha-Hydroxycholesterol + NAD+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADH + H+	MNXR148621	11896;11897;11898;11899	rxn02972;rxn16862		1.1.1.181-RXN	9288
R04264	Cholest-5-ene-3beta,7alpha-diol:NAD+ 3-oxidoreductase	7alpha-Hydroxycholesterol + NADP+ <=> 7alpha-Hydroxycholest-4-en-3-one + NADPH + H+	MNXR108768		rxn02973			
R04265	CDP-alpha-D-paratose:NADP+ 4-oxidoreductase	CDP-3,6-dideoxy-D-glucose + NADP+ <=> CDP-4-dehydro-3,6-dideoxy-D-glucose + NADPH + H+	MNXR108769	34567;34568;34569;34570	rxn02974		RXN-9159	
R04266	CDP-3,6-dideoxy-D-glucose 2-epimerase	CDP-3,6-dideoxy-D-glucose <=> CDP-3,6-dideoxy-D-mannose	MNXR108770	21656;21657;21658;21659	rxn02975		RXN-9160	
R04267	ATP:deoxynucleoside-phosphate phosphotransferase	ATP + Deoxynucleoside 5'-phosphate <=> ADP + 2'-Deoxyribonucleoside diphosphate	MNXR108771	11216;11217;11218;11219			DEOXYNUCLEOSIDE-PHOSPHATE-KINASE-RXN	
R04268	N-Formyl-L-methionylaminoacyl-tRNA amidohydrolase	N-Formyl-L-methionylaminoacyl-tRNA + H2O <=> Formate + L-Methionylaminoacyl-tRNA	MNXR148623					
R04269		L-threo-3-Methylaspartate + 2-Oxoglutarate <=> Methyloxaloacetate + L-Glutamate	MNXR108773		rxn02976		RXN-7751	
R04270	2-alpha-L-FUcopyranosyl-beta-D-galactoside fucohydrolase	Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside + H2O <=> 6-Deoxy-L-galactose + Methyl beta-D-galactoside	MNXR108774	10816;10817;10818;10819	rxn02977;rxn17378		12-ALPHA-L-FUCOSIDASE-RXN	
R04271	N-Hydroxy-4-acetylaminobiphenyl:N-hydroxy-4-aminobiphenyl O-acetyltransferase	N-Hydroxy-4-acetylaminobiphenyl + N-Hydroxy-4-aminobiphenyl <=> N-Hydroxy-4-aminobiphenyl + N-Acetoxy-4-aminobiphenyl						
R04272	Oligosaccharide-diphosphodolichol phosphodolichohydrolase	Dolichyl diphosphooligosaccharide + H2O <=> Oligosaccharide phosphate + Dolichyl phosphate	MNXR148626					
R04273	Peptidylproline cis-trans-isomerase	Peptidylproline (omega=180) <=> Peptidylproline (omega=0)						
R04274	RNA-3'-phosphate:RNA ligase (cyclizing, AMP-forming)	ATP + RNA 3'-terminal-phosphate <=> AMP + Diphosphate + RNA terminal-2',3'-cyclic-phosphate	MNXR148630					
R04275	ATP:[L-tyrosine,tetrahydropteridine:oxygen oxidoreductase (3-hydroxylating)] O-phosphotransferase	ATP + [Tyrosine-3-monoxygenase] <=> ADP + Phospho-[tyrosine-3-monoxygenase]	MNXR108779		rxn06635			
R04276	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	cis-3,4-Leucopelargonidin + 2-Oxoglutarate + Oxygen <=> Pelargonidin + Succinate + CO2 + 2 H2O	MNXR148632		rxn02979			
R04277	2-pyrone-4,6-dicarboxylate lactonohydrolase	2-Pyrone-4,6-dicarboxylate + H2O <=> (1E)-4-Oxobut-1-ene-1,2,4-tricarboxylate	MNXR125611	10644;10645;10646;10647	rxn23791		RXN-2462	
R04278	2-hydroxy-2-hydropyrone-4,6-dicarboxylate:NAD+ 6-oxidoreductase	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NAD+ <=> 2-Pyrone-4,6-dicarboxylate + NADH + H+	MNXR108782		rxn02981			
R04279	4-carboxy-2-hydroxymuconate semialdehyde hemiacetal:NADP+ 2-oxidoreductase	2-Hydroxy-2-hydropyrone-4,6-dicarboxylate + NADP+ <=> 2-Pyrone-4,6-dicarboxylate + NADPH + H+	MNXR108783	29587;29588;29589;29590	rxn02982		1.2.1.45-RXN	
R04280	3-O-methylgallate:oxygen 4,5-oxidoreductase (decyclizing)	3-O-Methylgallate + Oxygen <=> 2-Pyrone-4,6-dicarboxylate + Methanol	MNXR108784	31127;31128;31129;31130	rxn02983		METHYLGALLATE-RXN	
R04281	Carbamoyl-phosphate:3-hydroxymethylceph-3-em-4-carboxylate carbamoyltransferase	Carbamoyl phosphate + 3-Hydroxymethyl ceph-3-em-4-carboxylate <=> Orthophosphate + 3-Carbamoyloxymethylcephem	MNXR108785		rxn06636;rxn17442		2.1.3.7-RXN	
R04282		4-Imidazolone-5-propanoate + H2O <=> Formylisoglutamine	MNXR108786		rxn11596		RXN-7587	
R04283		4-Imidazolone-5-propanoate + H2O <=> 4-Oxoglutaramate + Formate + Ammonia	MNXR148634		rxn39455			
R04285	6-Lactoyl-5,6,7,8-tetrahydropterin:NADP+ 2'-oxidoreductase	6-Lactoyl-5,6,7,8-tetrahydropterin + NADP+ <=> 6-Pyruvoyltetrahydropterin + NADPH + H+	MNXR138943	11772;11773;11774;11775	rxn02985	r0673	1.1.1.220-RXN	
R04286	2-amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl) dihydropteridine triphosphate lyase	7,8-Dihydroneopterin 3'-triphosphate <=> 6-Pyruvoyltetrahydropterin + Triphosphate	MNXR141260	22048;22049;22050;22051	rxn02986	PTHPS;PTHPS_1;PTHPSn	4.2.3.12-RXN	9435
R04289		CMP-N-glycoloylneuraminate <=> Glycolipid	MNXR108788		rxn06639			
R04291	UDP-N-acetyl-D-glucosamine:lysosomal-enzyme N-acetylglucosaminephosphotransferase	UDP-N-acetyl-alpha-D-glucosamine + Lysosomal-enzyme D-mannose <=> UMP + Lysosomal-enzyme N-acetyl-D-glucosaminyl-phospho-D-mannose	MNXR148636					
R04292	glycerone phosphate:iminosuccinate alkyltransferase (cyclizing)	Quinolinate + 2 H2O + Orthophosphate <=> Iminoaspartate + Glycerone phosphate	MNXR103400	25888;25889;25890;25891	rxn02988;rxn20661	QULNS;QULNS_1;QULNS_m	QUINOLINATE-SYNTHA-RXN	
R04293		Quinolinate + H2O <=> 2-Amino-3-carboxymuconate semialdehyde	MNXR146200	25147;25148;25149;25150		QUILSYN		
R04294	2'-Deoxyribonucleoside diphosphate:oxidized-thioredoxin 2'-oxidoreductase	2'-Deoxyribonucleoside diphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside diphosphate + Thioredoxin	MNXR148639					
R04296	UDPglucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase	UDP-glucose + (S)-4-Hydroxymandelonitrile <=> UDP + Dhurrin	MNXR152383	12853;12854;12855;12856	rxn02991;rxn24291;rxn37789		RXN-743	
R04297	1,2,3,5-Tetrahydroxybenzene:1,2,3-trihydroxybenzene hydroxytransferase	1,2,3,5-Tetrahydroxybenzene + 1,2,3-Trihydroxybenzene <=> 1,2,3,5-Tetrahydroxybenzene + Phloroglucinol						
R04299		2-Amino-2-deoxy-D-gluconate <=> Aminosugar	MNXR108793		rxn06642			
R04300	4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)	Dopamine + H2O + Oxygen <=> 3,4-Dihydroxyphenylacetaldehyde + Ammonia + Hydrogen peroxide	MNXR94989	27946;27947;27948;27949	rxn02993;rxn27000;rxn29954	42A12BOOX;42A12BOOXpp	RXN6666-4	4000
R04301	S-Adenosyl-L-methionine:catechol O-methyltransferase	S-Adenosyl-L-methionine + Dopamine <=> S-Adenosyl-L-homocysteine + 3-Methoxytyramine	MNXR190940		rxn02994;rxn27001	DOPAMT	RXN6666-7	
R04303	NADPH:4-(dimethylamino)phenylazoxybenzene oxidoreductase	para-(Dimethylamino)azobenzene + NADP+ + H2O <=> 4-(Dimethylamino)phenylazoxybenzene + NADPH + H+	MNXR139267	19789;19790;19791;19792	rxn02995;rxn06643		1.6.6.12-RXN	
R04304	4-Hydroxyphenylethanol:NAD+ oxidoreductase	4-Hydroxyphenylethanol + NAD+ <=> 4-Hydroxyphenylacetaldehyde + NADH + H+	MNXR108795		rxn02996;rxn26743;rxn38667;rxn38668;rxn38669		RXN3O-4113	
R04305	4-Hydroxyphenylacetaldehyde hydro-lyase (adding dopamine)	4-Hydroxyphenylacetaldehyde + Dopamine <=> (S)-Norcoclaurine + H2O	MNXR108796	16173;16174;16175;16176	rxn02997;rxn27097;rxn32590		S-NORLAUDANOSOLINE-SYNTHASE-RXN	
R04306		(Z)-4-Hydroxyphenylacetaldehyde oxime <=> 4-Hydroxyphenylacetonitrile + H2O	MNXR108797	50728;50729;50730;50731	rxn22651		RXN-12240	
R04307	trans-4-hydroxycyclohexanecarboxylate:NAD+ 4-oxidoreductase	trans-4-Hydroxycyclohexanecarboxylate + NAD+ <=> 4-Oxocyclohexanecarboxylate + NADH + H+	MNXR108798	17429;17430;17431;17432	rxn02999		1.1.1.226-RXN	
R04309	3alpha-Hydroxy-5beta-androstan-17-one:NAD+ oxidoreductase (B-specific)	Etiocholanolone + NAD+ <=> 5beta-Androstane-3,17-dione + NADH + H+	MNXR148641	10356;10357;10358;10359	rxn03000;rxn16859		1.1.1.152-RXN	4008
R04310	3alpha-Hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific)	Etiocholanolone + NADP+ <=> 5beta-Androstane-3,17-dione + NADPH + H+	MNXR148643		rxn03001			4009
R04311	1-Acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase	Acylglycerone phosphate + Long-chain alcohol <=> O-Alkylglycerone phosphate + Long-chain acid anion	MNXR148645					
R04312	Pyrophosphate:microsomal-membrane-protein O-phosphotransferase	Diphosphate + Microsomal-membrane protein <=> Orthophosphate + O-Phospho-microsomal-membrane protein	MNXR108802		rxn06645			
R04313		N6,N6,N6-Trimethyl-L-lysine + 2 Protein <=> Protein N6,N6,N6-trimethyl-L-lysine + 2 H2O	MNXR148647					
R04314	DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase	DNA containing 6-O-methylguanine + [Protein]-L-cysteine <=> Protein S-methyl-L-cysteine + DNA containing guanine	MNXR148649					
R04315	2'-Deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase	Deoxynucleoside triphosphate + Thioredoxin disulfide + H2O <=> Ribonucleoside triphosphate + Thioredoxin	MNXR148651					
R04316	Acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase	Acetyl-CoA + Ribosomal-protein L-alanine <=> CoA + Ribosomal-protein N-acetyl-L-alanine	MNXR148653		rxn06649			
R04317	S-Methyl-3-phospho-1-thio-D-glycerate phosphohydrolase	S-Methyl-3-phospho-1-thio-D-glycerate + H2O <=> S-Methyl-1-thio-D-glycerate + Orthophosphate	MNXR108807	16081;16082;16083;16084	rxn03002		3.1.3.14-RXN	
R04318		Benzylpenicilloic acid <=> Penicillin G + H2O	MNXR108808		rxn11599			
R04319	trans-2,3-didehydroacyl-CoA:NADP+ 4-oxidoreductase	trans-2,3-Dehydroacyl-CoA + NADP+ <=> trans,trans-2,3,4,5-Tetradehydroacyl-CoA + NADPH + H+	MNXR148655					
R04320	Poly(1,4-alpha-D-galacturonide) galacturonohydrolase	Pectate + H2O <=> Pectate + D-Galacturonate						
R04321	CDP-choline:1-alkyl-2-acetylglycerol cholinephosphotransferase	CDP-choline + 1-Alkyl-2-acetyl-sn-glycerol <=> CMP + 2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine	MNXR192156					
R04322	UDP-alpha-D-galactose:2-(2-hydroxyacyl)sphingosine 1-beta-D-galactosyltransferase	UDP-alpha-D-galactose + 2-(2-Hydroxyacyl)sphingosine <=> UDP + 1-(beta-D-Galactosyl)-2-(2-hydroxyacyl)sphingosine	MNXR148660					
R04323	2-Amino-3-carboxymuconate semialdehyde carboxy-lyase	2-Amino-3-carboxymuconate semialdehyde <=> 2-Aminomuconate semialdehyde + CO2	MNXR189778			PCLAD		
R04325	10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase	10-Formyltetrahydrofolate + 5'-Phosphoribosylglycinamide <=> Tetrahydrofolate + 5'-Phosphoribosyl-N-formylglycinamide	MNXR165700	15053;15054;15055;15056	rxn03004;rxn27872;rxn32750	FPGFTh;FPGFTm;GARFT		
R04326		5'-Phosphoribosylglycinamide + 5,10-Methenyltetrahydrofolate + H2O <=> 5'-Phosphoribosyl-N-formylglycinamide + Tetrahydrofolate	MNXR166698	31131;31132;31133;31134	rxn03005;rxn33724;rxn35343	FGFT;FGFT_1;FGFTh;FGFTm		
R04327	5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating)	2 Juglone + Oxygen <=> 2 3,5-Dihydroxy-1,4-naphthoquinone	MNXR108812	18745;18746;18747;18748	rxn44251		JUGLONE-3-MONOOXYGENASE-RXN	
R04328		Lathosterol + CO2 + 4 H2O + 3 NADP+ <=> Methostenol + 3 Oxygen + 3 NADPH + 3 H+	MNXR108813		rxn06655			
R04330	androstan-3alpha,17beta-diol:NAD+ oxidoreductase	Androstan-3alpha,17beta-diol + NAD+ <=> Dihydrotestosterone + NADH + H+	MNXR151833	22400;22401;22402;22403;42004;42005;42006;42007	rxn03008;rxn16892;rxn37153		1.1.1.53-RXN	7910
R04331	GDPmannose:chitobiosyldiphosphodolichol alpha-D-mannosyltransferase	GDP-mannose + N,N'-Diacetylchitobiosyldiphosphodolichol <=> GDP + alpha-D-Mannosylchitobiosyldiphosphodolichol	MNXR108815					
R04332	S-Adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase	S-Adenosyl-L-methionine + Glucuronoxylan D-glucuronate <=> S-Adenosyl-L-homocysteine + Glucuronoxylan 4-O-methyl-D-glucuronate	MNXR108816					
